,sent_id,sent,lemma,hyper,hypo,word,form,start,tokenized_sent
89,48,The playful squirrel darted up the tree.,tree,['woody plant'],"['alder tree', 'hazel tree', 'beech tree', 'ash tree', 'fig tree', 'wild fig', 'gum tree', 'spanish elm', 'silver ash', 'elm tree', 'teak', 'silk wood', 'palm tree', 'yellowwood tree', 'sycamore', 'satinwood tree', 'oak', 'tanbark oak', 'red sanders', 'african walnut', 'walnut tree', 'mahogany', 'coffee tree', 'wild orange', 'rose chestnut', 'rosewood tree', 'ivory tree', 'lime tree', 'bottle tree', 'cork tree', 'sandalwood tree', 'marmalade tree', 'willow', 'lancewood tree', 'wild cinnamon', 'christmas tree', 'lemon-wood tree', 'locust tree', 'white mangrove', 'birch', 'granadilla tree', 'chinese scholar tree']",tree,singular,6,"['The', 'playful', 'squirrel', 'darted', 'up', 'the', 'tree', '.']"
90,49,The turbulent sea crashed against the shore.,sea,['water'],"['south sea', 'north sea', 'ocean', 'sea waves', 'ocean waves']",sea,singular,2,"['The', 'turbulent', 'sea', 'crashed', 'against', 'the', 'shore', '.']"
91,49,The turbulent sea crashed against the shore.,shore,['coast'],"['seashore', 'beach', 'sandy beach', 'rocky shore', 'seaside']",shore,singular,6,"['The', 'turbulent', 'sea', 'crashed', 'against', 'the', 'shore', '.']"
92,50,The ancient parchment revealed secrets of the past.,parchment,"['scripture', 'artifact', 'piece']",['crumbling parchment'],parchment,singular,2,"['The', 'ancient', 'parchment', 'revealed', 'secrets', 'of', 'the', 'past', '.']"
93,50,The ancient parchment revealed secrets of the past.,secret,['information'],"['esoteric secret', 'trade secret', 'hidden secret', 'lost secret']",secrets,plural,4,"['The', 'ancient', 'parchment', 'revealed', 'secrets', 'of', 'the', 'past', '.']"
94,50,The ancient parchment revealed secrets of the past.,past,"['period', 'period of time']","['remote past', 'times long gone', 'ancient times']",past,singular,7,"['The', 'ancient', 'parchment', 'revealed', 'secrets', 'of', 'the', 'past', '.']"
95,51,The bustling market was filled with colorful stalls.,market,['trading venue'],"['marketplace', 'market square', 'flea market', 'open-air market', 'food market', 'bazaar']",market,singular,2,"['The', 'bustling', 'market', 'was', 'filled', 'with', 'colorful', 'stalls', '.']"
96,51,The bustling market was filled with colorful stalls.,stall,"['compartment', 'table']","['coffee stall', 'newsstand', 'vegetable stall', 'fruit stall']",stalls,plural,7,"['The', 'bustling', 'market', 'was', 'filled', 'with', 'colorful', 'stalls', '.']"
97,52,The vibrant sunset painted the sky in hues of orange and purple.,sky,"['atmosphere', 'wild blue yonder']","['afternoon ski', 'winter ski']",sky,singular,5,"['The', 'vibrant', 'sunset', 'painted', 'the', 'sky', 'in', 'hues', 'of', 'orange', 'and', 'purple', '.']"
98,52,The vibrant sunset painted the sky in hues of orange and purple.,hue,['colour'],"['distinct hue', 'warm hue']",hues,plural,7,"['The', 'vibrant', 'sunset', 'painted', 'the', 'sky', 'in', 'hues', 'of', 'orange', 'and', 'purple', '.']"
99,53,A curious kitten chased a fluttering butterfly in the garden.,kitten,"['animal', 'cat']","['house kitten', 'siamese kitten', 'angora kitten']",kitten,singular,2,"['A', 'curious', 'kitten', 'chased', 'a', 'fluttering', 'butterfly', 'in', 'the', 'garden', '.']"
100,53,A curious kitten chased a fluttering butterfly in the garden.,butterfly,['distratction'],"['yellow butterfly', 'ringlet butterfly', 'brush-footed butterfly']",butterfly,singular,6,"['A', 'curious', 'kitten', 'chased', 'a', 'fluttering', 'butterfly', 'in', 'the', 'garden', '.']"
101,53,A curious kitten chased a fluttering butterfly in the garden.,garden,"['plot', 'grounds', 'vegetation']","['rock garden', 'vegetable patch', 'herb garden', 'kitchen garden', 'vegetable garden', 'rose garden', 'flower garden', 'orchard']",garden,singular,9,"['A', 'curious', 'kitten', 'chased', 'a', 'fluttering', 'butterfly', 'in', 'the', 'garden', '.']"
102,54,The towering trees whispered ancient secrets in the forest.,tree,"['woody plant', 'giant']","['alder tree', 'hazel tree', 'beech tree', 'ash tree', 'fig tree', 'wild fig', 'gum tree', 'spanish elm', 'silver ash', 'elm tree', 'teak', 'silk wood', 'palm tree', 'yellowwood tree', 'sycamore', 'satinwood tree', 'oak', 'tanbark oak', 'red sanders', 'african walnut', 'walnut tree', 'mahogany', 'coffee tree', 'wild orange', 'rose chestnut', 'rosewood tree', 'ivory tree', 'lime tree', 'bottle tree', 'cork tree', 'sandalwood tree', 'marmalade tree', 'willow', 'lancewood tree', 'wild cinnamon', 'christmas tree', 'lemon-wood tree', 'locust tree', 'white mangrove', 'birch', 'granadilla tree', 'chinese scholar tree']",trees,plural,2,"['The', 'towering', 'trees', 'whispered', 'ancient', 'secrets', 'in', 'the', 'forest', '.']"
103,54,The towering trees whispered ancient secrets in the forest.,secret,['knowledge'],"['hidden secret', 'lost secret']",secrets,plural,5,"['The', 'towering', 'trees', 'whispered', 'ancient', 'secrets', 'in', 'the', 'forest', '.']"
104,54,The towering trees whispered ancient secrets in the forest.,forest,['wilderness'],"['grove', 'pine forest', 'sycamore forest']",forest,singular,8,"['The', 'towering', 'trees', 'whispered', 'ancient', 'secrets', 'in', 'the', 'forest', '.']"
105,55,The cozy dimly lit room exuded a warm and inviting atmosphere.,room,['location'],"['sewing room', 'bar', 'den', 'billiard parlour', 'parlour', 'lounge', 'dining room', 'reading room', 'waiting room', 'chamber', 'greenroom', 'study', 'bedroom', 'lobby', 'clubroom', 'kitchen', 'reception room', 'dance hall', 'hall', 'parlor', 'recreation room', 'storeroom', 'saloon', 'solarium', 'living room', 'scriptorium', 'entrance hall', 'ballroom']",room,singular,4,"['The', 'cozy', 'dimly', 'lit', 'room', 'exuded', 'a', 'warm', 'and', 'inviting', 'atmosphere', '.']"
106,56,A refreshing breeze swept through the open meadow.,breeze,['wind'],"['light breeze', 'moderate breeze', 'strong breeze', 'sea breeze', 'gentle breeze', 'puff of wind', 'air burst']",breeze,singular,2,"['A', 'refreshing', 'breeze', 'swept', 'through', 'the', 'open', 'meadow', '.']"
107,57,The joyful laughter of children echoed through the playground.,laughter,['activity'],"['ha-ha', 'snicker', 'cackle', 'giggle']",laughter,singular,2,"['The', 'joyful', 'laughter', 'of', 'children', 'echoed', 'through', 'the', 'playground', '.']"
108,57,The joyful laughter of children echoed through the playground.,child,['person'],"['kindergartener', 'street child', 'fosterling', 'rascal', 'kiddy', 'kid', 'orphan', 'toddler', 'foster child', 'preschooler', 'boy', 'girl', 'schoolgirl', 'schoolboy']",children,plural,4,"['The', 'joyful', 'laughter', 'of', 'children', 'echoed', 'through', 'the', 'playground', '.']"
109,57,The joyful laughter of children echoed through the playground.,playground,"['grounds', 'yard']","['kindergarten playground', 'village playground']",playground,singular,8,"['The', 'joyful', 'laughter', 'of', 'children', 'echoed', 'through', 'the', 'playground', '.']"
110,58,The shiny car glided smoothly down the highway.,car,"['motor vehicle', 'vehicle']","['landrover', 'police cruiser', 'convertible', 'suv', 'sports car', 'taxicab', 'limousine', 'limo', 'coupe', 'hatchback', 'minicar', 'sedan', 'jeep', 'roadster', 'taxi', 'patrol car', 'cab', 'race car', 'electric car', 'passenger car', 'cruiser']",car,singular,2,"['The', 'shiny', 'car', 'glided', 'smoothly', 'down', 'the', 'highway', '.']"
111,58,The shiny car glided smoothly down the highway.,highway,"['route', 'road']","['dual carriageway', 'interstate', 'divided highway', 'state highway', 'superhighway', 'interstate highway']",highway,singular,7,"['The', 'shiny', 'car', 'glided', 'smoothly', 'down', 'the', 'highway', '.']"
112,59,A majestic mountain stood tall against the horizon.,mountain,['geological formation'],"['seamount', 'alp', 'volcano', 'hill']",mountain,singular,2,"['A', 'majestic', 'mountain', 'stood', 'tall', 'against', 'the', 'horizon', '.']"
113,60,The weathered book held stories of distant lands and adventures.,book,['publication'],"['hardback', 'picture book', 'softback', 'coffee-table book', 'soft-cover book', 'novel', 'tome', 'journal', 'paperback', 'hardcover', 'storybook', 'bestseller', 'novella', 'mystery novel', 'pocket edition', 'pocket book', 'diary']",book,singular,2,"['The', 'weathered', 'book', 'held', 'stories', 'of', 'distant', 'lands', 'and', 'adventures', '.']"
114,60,The weathered book held stories of distant lands and adventures.,story,['tale'],"['myth', 'adventure story', 'heroic tale', 'short story', 'fable', 'legend', 'mystery story']",stories,plural,4,"['The', 'weathered', 'book', 'held', 'stories', 'of', 'distant', 'lands', 'and', 'adventures', '.']"
115,60,The weathered book held stories of distant lands and adventures.,land,['place'],"['foreign land', 'empire', 'country', 'continent', 'shore']",lands,plural,7,"['The', 'weathered', 'book', 'held', 'stories', 'of', 'distant', 'lands', 'and', 'adventures', '.']"
116,60,The weathered book held stories of distant lands and adventures.,adventure,"['undertaking', 'activity']","['exciting adventure', 'brave adventure', 'mysterious adventure']",adventures,plural,9,"['The', 'weathered', 'book', 'held', 'stories', 'of', 'distant', 'lands', 'and', 'adventures', '.']"
117,61,The juicy apple was a delight to bite into.,apple,['fruit'],"['red apple', 'delicious red apple', 'crab apple', 'dessert apple']",apple,singular,2,"['The', 'juicy', 'apple', 'was', 'a', 'delight', 'to', 'bite', 'into', '.']"
118,61,The juicy apple was a delight to bite into.,delight,['pleasure'],['absolute delight'],delight,singular,5,"['The', 'juicy', 'apple', 'was', 'a', 'delight', 'to', 'bite', 'into', '.']"
119,62,"A soothing melody played in the background, calming the room.",melody,['music'],"['music of the spheres', 'tune', 'vocal music', 'instrumental music', 'piano music']",melody,singular,2,"['A', 'soothing', 'melody', 'played', 'in', 'the', 'background', ',', 'calming', 'the', 'room', '.']"
120,62,"A soothing melody played in the background, calming the room.",room,['environment'],"['passers-by', 'people passing by', 'customers', 'travellers', 'lounge', 'waiting room', 'lobby', 'reception room']",room,singular,10,"['A', 'soothing', 'melody', 'played', 'in', 'the', 'background', ',', 'calming', 'the', 'room', '.']"
121,63,An abandoned house stood silent at the end of the street.,house,['building'],"['lounge', 'waiting room', 'lobby', 'reception room']",house,singular,2,"['An', 'abandoned', 'house', 'stood', 'silent', 'at', 'the', 'end', 'of', 'the', 'street', '.']"
122,63,An abandoned house stood silent at the end of the street.,street,"['route', 'road']","['alley', 'alleyway', 'avenue', 'main street', 'back street', 'boulevard', 'side street']",street,singular,10,"['An', 'abandoned', 'house', 'stood', 'silent', 'at', 'the', 'end', 'of', 'the', 'street', '.']"
